product_name,price,link
Open Box: GIGABYTE AORUS MASTER 16 Gaming Laptop - Intel Core Ultra 9 275HX - NVIDIA GeForce RTX 5090 - 32GB DDR5 RAM - 2TB SSD - 240Hz 2560x1600 OLED - Windows 11 Home AD,"2,899.99",https://www.newegg.com/aorus-16-geforce-rtx-5090-laptop-gpu-intel-core-ultra-9-275hx-wqxga-32gb-memory-2-tb-ssd/p/N82E16834233610R?Item=N82E16834233610R
"Open Box: ASUS Z790 GAMING WIFI7 (LGA 1700) ATX motherboard with PCIe 5.0, three M.2 slots, 14+1 DrMOS, DDR5, WIFI 7, Realtek 1Gb LAN, HDMI TM, USB 3.2 Gen 2x2 Type-C, front USB 3.2 Gen 1 Type-C",103.67,https://www.newegg.com/asus-z790-gaming-wifi7-atx-motherboards-intel-intel-z790-lga-1700/p/N82E16813119679R?Item=N82E16813119679R
"CORSAIR iCUE LINK RX120 MAX 120mm PWM Thick Fans - Starter Kit – High Static Pressure Fan  – Up to 2,000 RPM – 30mm Thickness – iCUE LINK System Hub Included",59.49,https://www.newegg.com/p/N82E16835181461?Item=N82E16835181461
"Open Box: Lenovo ThinkPad X9 15 Gen 1 15.3"" OLED CoPilot+ PC Notebook Intel Core Ultra 7 268V 32 GB LPDDR5x 1 TB SSD Intel Arc Graphics 140V Grey - 15.3"" 2.8K OLED Display - Intel Core Ultra 7 268V -","1,469.12",https://www.newegg.com/lenovo-thinkpad-15-3-non-touch-screen-intel-core-ultra-7-268v-intel-arc-graphics-140v-32gb-memory-1-tb-ssd/p/0EJ-001J-00663R?Item=0EJ-001J-00663R
GIGABYTE W773-W80 GPU Workstation - Intel® Xeon® W-3500/2500/3400/2400 - UP,"1,672.89",https://www.newegg.com/gigabyte-w773-w80-supports-intel-xeon-w-3500-w-2500-w-3400-w-2400-processors/p/N82E16816202301?Item=N82E16816202301
Open Box: CyberpowerPC Gaming Desktop PC GM70928 AMD Ryzen 7 7800X3D 32GB DDR5 1TB NVMe SSD GeForce RTX 5070 Windows 11 Home,"1,869.99",https://www.newegg.com/cyberpowerpc-gaming-desktop-pc-geforce-rtx-5070-amd-ryzen-7-7800x3d-32gb-ddr5-1tb-nvme-ssd-gm70928-black/p/N82E16883230894R?Item=N82E16883230894R
ASRock DESKMEET B760W/B/BB/BOX/US Barebone System ASRock Challenger Arc A380 Video Card A380 CLI 6G OC,321.94,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4855196
"Open Box: Rosewill 14-in-1 USB C Laptop Docking Station with 100W PD Charging, 4K@60Hz Display, Triple 4K Display,10Gbps Data Transfer & Kensington Lock, Windows, Mac, Android - RHUB-M14",69.99,https://www.newegg.com/rosewill-rhub-m14/p/N82E16834965286R?Item=N82E16834965286R
Pascari AI100E M.2 2280 1TB PCI-Express 4.0 Solid State Disk Enterprise - A1802K031T00E004T0900,"1,264.36",https://www.newegg.com/p/N82E16820979047?Item=N82E16820979047
"Open Box: Rosewill Mattress Vacuum Cleaner: Anti-allergen Bed Vacuum Cleaner with UV-C Light & High Heating Tech, 350W 13Kpa Strong Suction, Deep Cleaning Handheld Vacuums for Sofa/Bed/Pet Hair - Corded - PW",39.99,https://www.newegg.com/purple-white-rosewill-mattress-vacuum-cleaner-pu-mite-remover-13kpa-suction-power/p/N82E16896268191R?Item=N82E16896268191R
GIGABYTE MZ73-LM0 Rev. 3.x Server Motherboard - AMD EPYC™ 9005/9004 - E-ATX DP PCIe Gen5 cTDP 400W,"1,066.99",https://www.newegg.com/gigabyte-mz73-lm0-amd-epyc-9004-series-amd-epyc-9005-series/p/296-0006-00070?Item=296-0006-00070
Thermaltake UX500 ARGB CPU Cooler; 5xØ6mm Copper Heatpipes; 120mm PWM Fan; 700~1800 RPM; Intel/AMD Compatible; Single Tower; 260W TDP; Black; CL-P144-AL12SW-A,19.99,https://www.newegg.com/thermaltake-cl-p144-al12sw-a-120mm-intel-lga-1851-1700-1200-1156-1155-1151-1150-amd-am5-am4-fm2-fm1-am3-am3-am2-am2/p/N82E16835106790?Item=N82E16835106790
"Open Box: Rosewill Essential Food Dehydrator, 5 Stackable Trays with Adjustable 48H Timer and Temperature Control - Electric Food Preserver for Jerky, Fruits, Veggies, Meat & Dog Treats - (Never Used, open box)",35.99,https://www.newegg.com/rosewill-rhfd-19001-food-dehydrators/p/N82E16896268149R?Item=N82E16896268149R
"Open Box: NVIDIA SHIELD Android TV Pro - 4K HDR Streaming Media Player - High Performance, Dolby Vision, 3GB RAM, 2 x USB, Google Assistant Built-In, Works with Alexa (945-12897-2500-101)",,https://www.newegg.com/black-nvidia-shield-tv-pro-digital-media-streamer/p/N82E16815351017R?Item=N82E16815351017R
"Open Box: Beyerdynamic MMX 330 PRO Gaming Headset, open-back",223.19,https://www.newegg.com/beyerdynamic-1001163-over-the-ear-black/p/N82E16826380065R?Item=N82E16826380065R
"ASRock Industrial NUC BOX-1260P Fanned Barebone, Include Intel 12th Gen i7-1260P Alder Lake-P CPU, Intel WIFI 6E and Two 2.5 Gbe Dual LAN, Dual Storage and Memory Support, TPM2.0 on Board",416.49,https://www.newegg.com/asrock-industrial-fanned-barebone-intel-12th-gen-core-processors-nuc-box-1260p/p/N82E16856158081?Item=N82E16856158081
